"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"postpone","postpone.v.01","hold back to a later time","verb.stative","['postpone', 'postponed', 'postponing', 'defer', 'shelve', 'deferred', 'deferring', 'shelved', 'tabling', 'postpones', 'prorogued', 'tabled']",393
"waving","beckon.v.01","signal with the hands or nod","verb.communication","['waving', 'waved', 'beckons', 'beckoning', 'beckon', 'beckoned']",392
"matched","match.v.01","be compatible, similar or consistent; coincide in their characteristics","verb.stative","['matched', 'tally', 'correspond', 'corresponds', 'jibe', 'corresponded', 'jibed', 'tallied', 'tallies', 'jibes', 'tallying']",391
"sweating","sweat.v.01","excrete perspiration through the pores in the skin","verb.body","['sweating', 'sweated', 'perspiring', 'perspire', 'perspired', 'perspires']",390
"resolve","decide.v.02","bring to an end; settle conclusively","verb.cognition","['resolve', 'resolved', 'resolving', 'resolves']",390
"resent","resent.v.01","feel bitter or indignant about","verb.emotion","['resent', 'resented', 'resents', 'resenting']",389
"defy","defy.v.01","resist or confront with resistance","verb.stative","['defy', 'withstand', 'defied', 'defies', 'defying', 'withstood', 'withstands']",386
"dictate","order.v.03","issue commands or orders for","verb.communication","['dictate', 'prescribed', 'prescribe', 'dictated', 'dictating', 'dictates', 'prescribing', 'prescribes']",385
"posted","post.v.01","affix in a public place or for public notice","verb.contact","['posted', 'posting']",384
"carved","carve.v.01","form by carving","verb.contact","['carved', 'carve', 'carving', 'carves']",384
"conclude","reason.v.01","decide by reasoning; draw or come to a conclusion","verb.cognition","['conclude', 'concludes', 'concluded', 'reasoned', 'concluding']",384
"prevail","predominate.v.01","be larger in number, quantity, power, status or importance","verb.stative","['prevail', 'dominate', 'dominated', 'prevailed', 'prevails', 'dominating', 'dominates', 'predominate', 'predominates']",383
"woo","woo.v.01","seek someone's favor","verb.social","['woo', 'wooing', 'wooed', 'woos']",382
"shed","shed.v.01","get rid of","verb.contact","['shed', 'shedding']",379
"elected","elect.v.01","select by a vote for an office or membership","verb.social","['elected', 'elect', 'elects', 'electing']",379
"sobbing","sob.v.01","weep convulsively","verb.body","['sobbing', 'sobs', 'sobbed']",378
"wired","wire.v.01","provide with electrical circuits","verb.possession","['wired']",377
"unload","drop.v.08","leave or unload","verb.contact","['unload', 'unloaded', 'unloading', 'unloads']",377
"click","snap.v.04","move or strike with a noise","verb.motion","['click', 'clicking', 'clicked']",376
"exhausted","exhaust.v.01","wear out completely","verb.body","['exhausted', 'tuckered', 'exhausts']",375
"verify","verify.v.01","confirm the truth of","verb.cognition","['verify', 'verified', 'verifying', 'verifies']",375
"invade","invade.v.01","march aggressively into another's territory by military force for the purposes of conquest and occupation","verb.competition","['invade', 'invaded', 'invading', 'invades']",375
"arise","originate.v.01","come into existence; take on form or shape","verb.stative","['arise', 'originated', 'arises', 'arose', 'arising', 'originate', 'arisen', 'originating', 'originates', 'arised']",375
"recorded","record.v.01","make a record of; set down in permanent form","verb.communication","['recorded']",374
"despise","contemn.v.01","look down on with disdain","verb.emotion","['despise', 'despised', 'despises', 'scorned', 'despising', 'disdains', 'scorning', 'disdained', 'disdaining']",371
"summon","summon.v.01","call in an official matter, such as to attend court","verb.communication","['summon', 'summoned', 'summoning']",371
"ditch","ditch.v.01","forsake","verb.possession","['ditch', 'ditched', 'ditching']",370
"hustle","hustle.v.01","cause to move furtively and hurriedly","verb.motion","['hustle', 'hustling', 'hustled', 'hustles']",369
"steer","steer.v.01","direct the course; determine the direction of travelling","verb.motion","['steer', 'guided', 'steered', 'maneuvering', 'maneuvered']",369
"loosen","loosen.v.01","make loose or looser","verb.change","['loosen', 'loosened', 'loosens', 'loosening']",368
"weep","cry.v.02","shed tears because of sadness, rage, or pain","verb.body","['weep', 'wept', 'weeping', 'weeps']",368
"stumbled","stumble.v.01","walk unsteadily","verb.motion","['stumbled', 'stumble', 'stumbling', 'stumbles']",365
"appointed","appoint.v.01","create and charge with a task or function","verb.social","['appointed', 'appoint', 'appointing', 'appoints']",363
"tapped","tap.v.01","cut a female screw thread with a tap","verb.contact","['tapped', 'tapping']",363
"participate","participate.v.01","share in something","verb.social","['participate', 'participated', 'participating', 'participates']",363
"terrified","terrify.v.01","fill with terror; frighten greatly","verb.emotion","['terrified', 'terrify', 'terrifies']",362
"seated","seat.v.01","show to a seat; assign a seat for","verb.contact","['seated']",360
"undo","undo.v.01","cancel, annul, or reverse an action or its effect","verb.contact","['undo', 'undone', 'undid', 'undoes']",359
"deserted","abandon.v.05","leave someone who needs or counts on you; leave in the lurch","verb.cognition","['deserted', 'forsaken', 'forsake', 'deserting', 'forsaking', 'forsakes', 'forsook']",359
"harassing","harass.v.01","annoy continually or chronically","verb.emotion","['harassing', 'harassed', 'harass', 'hassling', 'beset', 'hassled', 'harasses', 'harried', 'harrying']",359
"obtain","obtain.v.01","come into possession of","verb.possession","['obtain', 'obtained', 'obtaining', 'obtains']",358
"kneel","kneel.v.01","rest one's weight on one's knees","verb.contact","['kneel', 'kneeling', 'knelt', 'kneels', 'kneeled']",357
"snatched","snatch.v.01","to grasp hastily or eagerly","verb.contact","['snatched', 'snatch', 'snatching', 'snatches']",354
"struggling","fight.v.03","make a strenuous or labored effort","verb.social","['struggling', 'struggled']",353
"scored","score.v.01","gain points in a game","verb.competition","['scored', 'scoring']",352
"scrub","scrub.v.01","clean with hard rubbing","verb.contact","['scrub', 'scrubbed', 'scrubbing']",352
"assemble","assemble.v.01","create by putting components or members together","verb.creation","['assemble', 'assembled', 'assembling', 'assembles']",352
"cured","bring_around.v.02","provide a cure for, make healthy again","verb.body","['cured', 'curing']",351
"holler","holler.v.01","shout out","verb.communication","['holler', 'hollering', 'hollered', 'hollers']",350
"greet","greet.v.01","express greetings upon meeting someone","verb.communication","['greet', 'greeted', 'greets']",349
"sabotage","sabotage.v.01","destroy property or hinder normal operations","verb.social","['sabotage', 'undermine', 'sabotaged', 'sabotaging', 'undermining', 'undermines', 'undermined', 'countermine']",349
"witnessed","witness.v.01","be a witness to","verb.perception","['witnessed', 'witnessing']",348
"manipulate","manipulate.v.01","influence or control shrewdly or deviously","verb.social","['manipulate', 'manipulated', 'manipulating', 'manipulates']",348
"screeching","whine.v.03","make a high-pitched, screeching noise","verb.perception","['screeching', 'squeak', 'squeaking', 'creaks', 'squeaks', 'creak', 'squeaked', 'screeched', 'creaked']",348
"condemned","condemn.v.01","express strong disapproval of","verb.communication","['condemned', 'condemn', 'condemning', 'condemns', 'excoriates']",346
"overreacting","overreact.v.01","show an exaggerated response to something","verb.cognition","['overreacting', 'overreacted', 'overreact', 'overreacts']",344
"consumed","devour.v.03","eat immoderately","verb.consumption","['consumed', 'consume', 'consuming', 'consumes']",342
"slowing","decelerate.v.01","lose velocity; move more slowly","verb.change","['slowing', 'slowed', 'slows', 'decelerating', 'decelerate']",341
"repay","refund.v.01","pay back","verb.possession","['repay', 'repaid', 'repaying', 'refunded', 'repays', 'refunding']",340
"tempted","tempt.v.01","dispose or incline or entice to","verb.communication","['tempted', 'tempt', 'tempts', 'allured']",340
"overlook","overlook.v.01","look past, fail to notice","verb.perception","['overlook', 'overlooked', 'overlooking', 'overlooks']",338
"rattling","rattle.v.01","make short successive sounds","verb.perception","['rattling', 'rattle', 'rattled', 'rattles']",336
"mumbling","mumble.v.01","talk indistinctly; usually in a low voice","verb.communication","['mumbling', 'muttering', 'mumbles', 'mumble', 'mutters', 'mutter', 'muttered', 'mumbled']",335
"pumping","pump.v.01","operate like a pump; move up and down, like a handle or a pedal","verb.contact","['pumping', 'pumped']",334
"initiate","originate.v.02","bring into being","verb.creation","['initiate', 'initiated', 'initiating', 'initiates']",334
"longing","hanker.v.01","desire strongly or persistently","verb.emotion","['longing', 'longed', 'longs', 'yearn', 'yearning', 'yearned', 'yearns', 'hankered']",334
"challenged","challenge.v.01","take exception to","verb.communication","['challenged', 'challenging', 'disputing', 'disputed', 'gainsay']",332
"mock","mock.v.01","treat with contempt","verb.communication","['mock', 'mocking', 'mocked', 'mocks']",331
"lined","line.v.01","be in line with; form a line along","verb.stative","['lined']",330
"concerns","refer.v.02","be relevant to","verb.stative","['concerns', 'pertains', 'pertain', 'pertained']",330
"isolated","isolate.v.01","place or set apart","verb.change","['isolated', 'isolate', 'isolating', 'isolates']",330
"opposed","oppose.v.01","be against; express opposition to","verb.communication","['opposed', 'oppose', 'opposes']",329
"interviewed","interview.v.01","conduct an interview in television, newspaper, and radio reporting","verb.communication","['interviewed', 'interviewing']",328
"motivated","motivate.v.01","give an incentive for action","verb.creation","['motivated', 'motivate', 'prompted', 'prompt', 'inciting', 'incite', 'motivates', 'prompting', 'prompts', 'incited', 'motivating', 'incites']",327
"lighten","lighten.v.01","make more cheerful","verb.emotion","['lighten', 'lightening', 'lightens', 'lightened']",326
"expand","expand.v.01","extend in one or more directions","verb.motion","['expand', 'expanding', 'expanded', 'expands']",326
"seduce","seduce.v.01","induce to have sex","verb.contact","['seduce', 'seduced', 'seducing', 'seduces']",325
"peel","skin.v.04","strip the skin off","verb.contact","['peel', 'peeled', 'peeling']",325
"satisfy","satisfy.v.01","meet the requirements or expectations of","verb.stative","['satisfy', 'satisfies']",324
"untie","untie.v.01","undo the ties of","verb.contact","['untie', 'untied', 'untying', 'unlace', 'unlacing']",324
"transmit","convey.v.03","transfer to another","verb.possession","['transmit', 'transmitting', 'transmitted', 'transmits']",324
"humming","hum.v.01","sing with closed lips","verb.communication","['humming', 'hums', 'hummed']",323
"scrape","scrape.v.01","scratch repeatedly","verb.contact","['scrape', 'scraping', 'scraped']",322
"supervise","oversee.v.01","watch and direct","verb.social","['supervise', 'oversee', 'supervised', 'supervising', 'overseeing', 'oversees', 'supervises', 'oversaw', 'overseen', 'superintended', 'superintends']",322
"abused","mistreat.v.01","treat badly","verb.social","['abused', 'abusing', 'mistreated', 'mistreating', 'mistreat', 'mistreats', 'maltreat']",321
"tipped","tip.v.01","cause to tilt","verb.motion","['tipped', 'tipping']",319
"tasted","taste.v.01","have flavor; taste of something","verb.perception","['tasted', 'savour', 'savouring', 'savoured']",318
